Distance TxPower LossRate
30 15 59.06
30 16 48.2
30 17 38.66
30 18 30.64
30 19 24.08
30 20 18.83
30 21 14.67
30 22 11.41
30 23 8.87
30 24 6.9
30 25 5.37
30 26 4.18
30 27 3.27
30 28 2.56
30 29 2.01
30 30 1.58
